Date,variable,value
2016-03-10,return_btc,0.0074
2016-03-11,return_btc,0.0079
2016-03-14,return_btc,0.0046
2016-03-15,return_btc,0.002
2016-03-16,return_btc,0.0019
2016-03-17,return_btc,0.0054
2016-03-18,return_btc,-0.0239
2016-03-21,return_btc,-0.001
2016-03-22,return_btc,0.0124
2016-03-23,return_btc,0.0019
2016-03-24,return_btc,-0.0054
2016-03-28,return_btc,-0.005600000000000001
2016-03-29,return_btc,-0.0171
2016-03-30,return_btc,-0.0062
2016-03-31,return_btc,0.0078000000000000005
2016-04-01,return_btc,0
2016-04-05,return_btc,0.006500000000000001
2016-04-06,return_btc,-0.0019
2016-04-07,return_btc,-0.0027
2016-04-08,return_btc,-0.0058
2016-04-11,return_btc,0.0028000000000000004
2016-04-12,return_btc,0.0079
2016-04-13,return_btc,-0.003
2016-04-14,return_btc,0.0013
2016-04-15,return_btc,0.011000000000000001
2016-04-18,return_btc,0.0034000000000000002
2016-04-19,return_btc,0.0169
2016-04-20,return_btc,0.0143
2016-04-21,return_btc,0.018500000000000003
2016-04-22,return_btc,-0.009000000000000001
2016-04-25,return_btc,0.0091
2016-04-26,return_btc,0.0092
2016-04-27,return_btc,-0.0408
2016-04-28,return_btc,0.0033
2016-04-29,return_btc,0.014499999999999999
2016-05-03,return_btc,0.0137
2016-05-04,return_btc,-0.009899999999999999
2016-05-05,return_btc,0.0051
2016-05-06,return_btc,0.0256
2016-05-09,return_btc,0.005600000000000001
2016-05-10,return_btc,-0.0241
2016-05-11,return_btc,0.006999999999999999
2016-05-12,return_btc,0.0043
2016-05-13,return_btc,0.0022
2016-05-16,return_btc,-0.0070999999999999995
2016-05-17,return_btc,-0.0036
2016-05-18,return_btc,0.0021
2016-05-19,return_btc,-0.0255
2016-05-20,return_btc,-0.0012
2016-05-23,return_btc,0.009300000000000001
2016-05-24,return_btc,0.0055000000000000005
2016-05-25,return_btc,0.008199999999999999
2016-05-26,return_btc,0.0078000000000000005
2016-05-27,return_btc,0.0458
2016-05-31,return_btc,-0.0063
2016-06-01,return_btc,0.016
2016-06-02,return_btc,-6e-4
2016-06-03,return_btc,0.0557
2016-06-06,return_btc,0.0151
2016-06-07,return_btc,-0.0137
2016-06-08,return_btc,0.0086
2016-06-13,return_btc,0.050300000000000004
2016-06-14,return_btc,-0.0213
2016-06-15,return_btc,0.008199999999999999
2016-06-16,return_btc,0.102
2016-06-17,return_btc,-0.0227
2016-06-20,return_btc,-0.0356
2016-06-21,return_btc,-0.0907
2016-06-22,return_btc,-0.1151
2016-06-23,return_btc,0.0513
